source_id,printer_name,status,db_message,original_images,valid_images,steps_count,components_count,vlm_used,vlm_detected
1,HP LASERJET PRO M15W,success,"Inserted ID=1 | HP LASERJET PRO M15W (13 images, 11 steps)",13,13,11,6,False,SKIPPED
2,HP LASERJET PRO MFP M28W,success,"Inserted ID=2 | HP LASERJET PRO MFP M28W (17 images, 10 steps)",18,17,10,7,False,SKIPPED
3,HP DESKJET 2710,success,"Inserted ID=3 | HP DESKJET 2710 (4 images, 10 steps)",4,4,10,7,False,SKIPPED
4,HP SMART TANK 515,success,"Inserted ID=4 | HP SMART TANK 515 (8 images, 10 steps)",10,8,10,6,False,SKIPPED
5,HP SMART TANK 530,success,"Inserted ID=5 | HP SMART TANK 530 (4 images, 10 steps)",4,4,10,6,False,SKIPPED
6,HP OFFICEJET PRO 9013,success,"Inserted ID=6 | HP OFFICEJET PRO 9013 (9 images, 12 steps)",9,9,12,7,False,SKIPPED
7,HP LASERJET PRO MFP M428FDW,success,"Inserted ID=7 | HP LASERJET PRO MFP M428FDW (7 images, 10 steps)",7,7,10,8,False,SKIPPED
8,HP SMART TANK 615,success,"Inserted ID=8 | HP SMART TANK 615 (7 images, 11 steps)",8,7,11,6,False,SKIPPED
9,CANON PIXMA G2411,success,"Inserted ID=9 | CANON PIXMA G2411 (7 images, 10 steps)",10,7,10,7,False,SKIPPED
10,EPSON ECOTANK L1250,success,"Inserted ID=10 | EPSON ECOTANK L1250 (8 images, 10 steps)",10,8,10,6,False,SKIPPED
11,CANON PIXMA G3411,success,"Inserted ID=11 | CANON PIXMA G3411 (25 images, 11 steps)",25,25,11,6,False,SKIPPED
12,EPSON ECOTANK L3250,success,"Inserted ID=12 | EPSON ECOTANK L3250 (24 images, 11 steps)",25,24,11,6,False,SKIPPED
13,SAMSUNG XPRESS SL-M2070,success,"Inserted ID=13 | SAMSUNG XPRESS SL-M2070 (16 images, 11 steps)",25,16,11,5,False,SKIPPED
14,LEXMARK MS621DN,success,"Inserted ID=14 | LEXMARK MS621DN (25 images, 10 steps)",25,25,10,6,False,SKIPPED
15,PANTUM P2500W,success,"Inserted ID=15 | PANTUM P2500W (20 images, 12 steps)",21,20,12,7,False,SKIPPED
16,CANON IMAGECLASS MF3010,success,"Inserted ID=16 | CANON IMAGECLASS MF3010 (21 images, 10 steps)",22,21,10,7,False,SKIPPED
17,CANON PIXMA TR4540,success,"Inserted ID=17 | CANON PIXMA TR4540 (20 images, 11 steps)",20,20,11,10,False,SKIPPED
18,DELL E310DW,success,"Inserted ID=18 | DELL E310DW (9 images, 10 steps)",10,9,10,7,False,SKIPPED
