Printer ID,Printer Name,Model Number,Image URL,Image #,Assigned To,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_enhance/e_enhance/e_background_removal/e_upscale/1_m15w_21_xivrhi.jpg,1,Sarah,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_enhance/e_enhance/e_background_removal/e_upscale/1_m15w_3_zbbdrq.webp,2,Sarah,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_enhance/e_enhance/e_background_removal/e_upscale/1_m15w_23_xqvhup.webp,3,Sarah,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_enhance/e_enhance/e_background_removal/e_upscale/1_m15w_11_z4pewu.jpg,4,Sarah,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_enhance/e_enhance/e_background_removal/e_upscale/1_m15w_20_vzms8v.jpg,5,Sarah,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_enhance/e_enhance/e_background_removal/e_upscale/1_m15w_19_fptgbz.jpg,6,Sarah,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_enhance/e_enhance/e_background_removal/e_upscale/1_m15w_13_olhizj.jpg,7,Sarah,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_enhance/e_enhance/e_background_removal/e_upscale/1_m15w_17_dw293w.jpg,8,Sarah,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_enhance/e_enhance/e_background_removal/e_upscale/1_m15w_22_occvgp.jpg,9,Sarah,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/1_m15w_5_w5xpho.webp,10,Sarah,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_enhance/e_enhance/e_background_removal/e_upscale/1_m15w_12_xsc1wj.webp,11,Sarah,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_background_removal/e_upscale/1_m15w_24_pmiduj.jpg,12,Sarah,,,,,,,,,,
1,HP LaserJet Pro M15w,M15w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_enhance/e_enhance/e_background_removal/e_upscale/1_m15w_18_ewkhvg.jpg,13,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_enhance/e_background_removal/2_m28w_26_dtjd9k.jpg,1,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_enhance/e_background_removal/2_m28w_23_cmvdmu.jpg,2,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_enhance/e_background_removal/2_m28w_19_cxqc7c.jpg,3,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_22_m0lmtg.webp,4,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_14_cljhrk.jpg,5,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_18_yysxvp.jpg,6,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_background_removal/2_m28w_3_gmu3br.avif,7,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_10_jaagoo.jpg,8,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_16_bg5agj.jpg,9,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_5_dkcc6o.jpg,10,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_17_mwrd4n.jpg,11,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_background_removal/2_m28w_11_vurudy.jpg,12,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_8_r1ruyg.webp,13,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_21_xydyrl.jpg,14,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_13_ri9wzb.jpg,15,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_15_ibr8xd.jpg,16,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_25_yevu6j.jpg,17,Sarah,,,,,,,,,,
2,HP LaserJet Pro MFP M28w,M28w,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/2_m28w_27_cw897d.jpg,18,Sarah,,,,,,,,,,
3,HP DeskJet 2710,2710,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/3_2710_2_vth2c4.jpg,1,Sarah,,,,,,,,,,
3,HP DeskJet 2710,2710,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/3_2710_5_xwj8cz.jpg,2,Sarah,,,,,,,,,,
3,HP DeskJet 2710,2710,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/3_2710_3_jlliti.jpg,3,Sarah,,,,,,,,,,
3,HP DeskJet 2710,2710,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_enhance/e_background_removal/3_2710_9_bl3dik.jpg,4,Sarah,,,,,,,,,,
4,HP Smart Tank 515,515,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_enhance/e_background_removal/4_515_4_een1h8.jpg,1,Sarah,,,,,,,,,,
4,HP Smart Tank 515,515,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_background_removal/4_515_1_qpyabi.jpg,2,Sarah,,,,,,,,,,
4,HP Smart Tank 515,515,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_background_removal/4_515_3_o4nwu1.jpg,3,Sarah,,,,,,,,,,
4,HP Smart Tank 515,515,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/4_515_5_kocsds.jpg,4,Sarah,,,,,,,,,,
4,HP Smart Tank 515,515,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/4_515_7_hbydob.avif,5,Sarah,,,,,,,,,,
4,HP Smart Tank 515,515,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/4_515_9_dyuc96.avif,6,Sarah,,,,,,,,,,
4,HP Smart Tank 515,515,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/4_515_10_kon3mo.jpg,7,Sarah,,,,,,,,,,
4,HP Smart Tank 515,515,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/4_515_11_q3oppe.jpg,8,Sarah,,,,,,,,,,
4,HP Smart Tank 515,515,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/4_515_13_h8um1h.jpg,9,Sarah,,,,,,,,,,
4,HP Smart Tank 515,515,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/4_515_12_yikmie.webp,10,Sarah,,,,,,,,,,
5,HP Smart Tank 530,530,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/5_530_1_zol1qf.png,1,Sarah,,,,,,,,,,
5,HP Smart Tank 530,530,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/5_530_4_tldq03.webp,2,Sarah,,,,,,,,,,
5,HP Smart Tank 530,530,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/5_530_3_iqvcx7.jpg,3,Sarah,,,,,,,,,,
5,HP Smart Tank 530,530,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/5_530_5_fuz6bb.jpg,4,Sarah,,,,,,,,,,
6,HP OfficeJet Pro 9013,9013,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/6_9013_11_jcivzu.png,1,Sarah,,,,,,,,,,
6,HP OfficeJet Pro 9013,9013,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_background_removal/6_9013_12_k0uue6.jpg,2,Sarah,,,,,,,,,,
6,HP OfficeJet Pro 9013,9013,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_background_removal/6_9013_1_mn4owh.png,3,Sarah,,,,,,,,,,
6,HP OfficeJet Pro 9013,9013,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/6_9013_10_qznjyq.jpg,4,Sarah,,,,,,,,,,
6,HP OfficeJet Pro 9013,9013,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/6_9013_7_baor8w.jpg,5,Sarah,,,,,,,,,,
6,HP OfficeJet Pro 9013,9013,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/6_9013_13_htjqex.jpg,6,Sarah,,,,,,,,,,
6,HP OfficeJet Pro 9013,9013,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/6_9013_2_aeotrz.jpg,7,Sarah,,,,,,,,,,
6,HP OfficeJet Pro 9013,9013,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/6_9013_3_e7zg9p.jpg,8,Sarah,,,,,,,,,,
6,HP OfficeJet Pro 9013,9013,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/6_9013_9_tsg65p.jpg,9,Sarah,,,,,,,,,,
7,HP LaserJet Pro MFP M428fdw,M428fdw,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/7_m428fdw_12_pqizmj.jpg,1,Sarah,,,,,,,,,,
7,HP LaserJet Pro MFP M428fdw,M428fdw,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/7_m428fdw_9_ookfq0.jpg,2,Sarah,,,,,,,,,,
7,HP LaserJet Pro MFP M428fdw,M428fdw,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/7_m428fdw_7_mrtvyb.webp,3,Sarah,,,,,,,,,,
7,HP LaserJet Pro MFP M428fdw,M428fdw,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/7_m428fdw_6_uzxrgk.jpg,4,Sarah,,,,,,,,,,
7,HP LaserJet Pro MFP M428fdw,M428fdw,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/7_m428fdw_2_dkood1.jpg,5,Sarah,,,,,,,,,,
7,HP LaserJet Pro MFP M428fdw,M428fdw,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/7_m428fdw_13_znefyo.jpg,6,Sarah,,,,,,,,,,
7,HP LaserJet Pro MFP M428fdw,M428fdw,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/7_m428fdw_4_hvrbzv.jpg,7,Sarah,,,,,,,,,,
8,HP Smart Tank 615,615,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/8_615_1_atpxyg.png,1,Sarah,,,,,,,,,,
8,HP Smart Tank 615,615,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/8_615_14_nl26mq.jpg,2,Sarah,,,,,,,,,,
8,HP Smart Tank 615,615,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/8_615_8_feyweb.jpg,3,Sarah,,,,,,,,,,
8,HP Smart Tank 615,615,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/8_615_9_pqwyvo.jpg,4,Sarah,,,,,,,,,,
8,HP Smart Tank 615,615,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/8_615_12_mrcnuk.jpg,5,Sarah,,,,,,,,,,
8,HP Smart Tank 615,615,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/8_615_13_geu8lq.jpg,6,Sarah,,,,,,,,,,
8,HP Smart Tank 615,615,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/8_615_11_wbkwjn.webp,7,Sarah,,,,,,,,,,
8,HP Smart Tank 615,615,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/8_615_10_p34sta.avif,8,Sarah,,,,,,,,,,
9,Canon PIXMA G2411,G2411,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/9_g2411_1_ub3vu8.jpg,1,Sarah,,,,,,,,,,
9,Canon PIXMA G2411,G2411,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/9_g2411_2_x86npv.jpg,2,Sarah,,,,,,,,,,
9,Canon PIXMA G2411,G2411,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/9_g2411_5_np4bco.avif,3,Sarah,,,,,,,,,,
9,Canon PIXMA G2411,G2411,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/9_g2411_3_zcgygk.jpg,4,Sarah,,,,,,,,,,
9,Canon PIXMA G2411,G2411,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/9_g2411_6_h5yruk.webp,5,Sarah,,,,,,,,,,
9,Canon PIXMA G2411,G2411,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/9_g2411_4_qxglhn.avif,6,Sarah,,,,,,,,,,
9,Canon PIXMA G2411,G2411,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/9_g2411_7_tnbjyx.jpg,7,Sarah,,,,,,,,,,
9,Canon PIXMA G2411,G2411,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/9_g2411_8_pkurrz.jpg,8,Sarah,,,,,,,,,,
9,Canon PIXMA G2411,G2411,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/9_g2411_9_igcaf3.jpg,9,Sarah,,,,,,,,,,
9,Canon PIXMA G2411,G2411,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/9_g2411_10_hejjga.avif,10,Sarah,,,,,,,,,,
10,Epson EcoTank L1250,L1250,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/10_l1250_2_t9kagt.jpg,1,Sarah,,,,,,,,,,
10,Epson EcoTank L1250,L1250,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/10_l1250_3_rtb7b4.jpg,2,Sarah,,,,,,,,,,
10,Epson EcoTank L1250,L1250,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/10_l1250_1_pknuqm.jpg,3,Sarah,,,,,,,,,,
10,Epson EcoTank L1250,L1250,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/10_l1250_4_uamlxr.jpg,4,Sarah,,,,,,,,,,
10,Epson EcoTank L1250,L1250,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/10_l1250_5_xs4q5z.jpg,5,Sarah,,,,,,,,,,
10,Epson EcoTank L1250,L1250,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/10_l1250_6_rm77ul.jpg,6,Sarah,,,,,,,,,,
10,Epson EcoTank L1250,L1250,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/10_l1250_7_zxstpw.jpg,7,Sarah,,,,,,,,,,
10,Epson EcoTank L1250,L1250,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/10_l1250_9_je0xof.avif,8,Sarah,,,,,,,,,,
10,Epson EcoTank L1250,L1250,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/10_l1250_8_px5oio.avif,9,Sarah,,,,,,,,,,
10,Epson EcoTank L1250,L1250,https://res.cloudinary.com/dnerhnqbq/image/upload/e_upscale/e_enhance/e_background_removal/10_l1250_10_myumuv.webp,10,Sarah,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345018/P5_y9feuv.jpg,1,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345018/P9_yipklh.jpg,2,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345018/P6_xol39i.jpg,3,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345018/P10_bvo5la.webp,4,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345019/P11_ludoyy.jpg,5,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345019/P8_kdbkys.jpg,6,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345019/P12_r2p0gg.jpg,7,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345019/P7_l8ssmd.jpg,8,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345019/P14_fjzbkj.jpg,9,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345019/P13_sifn2m.jpg,10,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345019/P15_gt9ral.jpg,11,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345019/P16_za3ogm.webp,12,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345020/P17_icxym8.webp,13,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345020/P21_ve3ye9.jpg,14,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345020/P19_ncsd4e.jpg,15,Waad,,,,,,,,,,
11,Canon PIXMA G3411,G3411,https://res.cloudinary.com/dcowpmp5r/image/upload/v1775345020/P20_ldouy6.webp,16,Waad,,,,,,,,,,
